pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK_HEME_METABOLISM,0.130315500685871,0.167071154725476,0.260547443851657,1.17575195566633,94,200,PDZK1IP1|FBXO9|SLC7A11|TOP1|CLCN3|MFHAS1|CTSB|SMOX|HTATIP2|USP15|ELL2|HMBS|KDM7A|PSMD9|NUDT4|HDGF|ADIPOR1|ABCB6|BTRC|ACP5|IGSF3|MAP2K3|SLC2A1|MARK3|CTNS|SEC14L1|E2F2|TRIM10|MINPP1|BMP2K|TMEM9B|LAMP2|LRP10|DCAF11|PGLS|ISCA1|AQP3|HTRA2|PPP2R5B|GAPVD1|RANBP10|TFRC|KLF3|MBOAT2|SLC11A2|ATG4A|MOSPD1|PICALM|NARF|RIOK3|RHCE|ASNS|OSBP2|CDC27|UROS|SLC6A8|FECH|SLC30A1|TSPAN5|RNF123|GCLM|TYR|UCP2|KEL|RBM38|FTCD|ADD2|ANK1|SLC10A3
HALLMARK_HYPOXIA,0.336076817558299,0.390786997160813,0.233205674093485,1.05236890193408,244,200,TPBG|PGM2|TPI1|CXCR4|PGK1|FAM162A|ENO1|ISG20|HK2|ERO1A|NDST2|AMPD3|ANGPTL4|NOCT|HMOX1|HSPA5|PLAC8|GALK1|SULT2B1|FOSL2|SLC2A1|ALDOA|GAPDH|IGFBP3|MIF|LDHA|GYS1|PIM1|PGF|PKP1|ADORA2B|ZFP36|NDST1|GPI|IL6|CDKN1A|HS3ST1|NAGK|JMJD6|SLC2A3|EXT1|TPST2|BHLHE40|SIAH2|B3GALT6|PLAUR|SLC37A4|B4GALNT2|ETS1|MAFF|ENO3
HALLMARK_IL2_STAT5_SIGNALING,0.00136239782016349,0.00370864856846165,0.344914053078748,1.55761757020316,0,199,MXD1|UCK2|NFKBIZ|PNP|IL4R|GSTO1|TNFRSF21|AHCY|HK2|CCNE1|TNFSF10|CD83|IFNGR1|IRF8|CTLA4|CKAP4|LTB|PRKCH|PLSCR1|CXCL10|NOP2|MYO1E|CDC6|CST7|ICOS|SELL|RHOH|CD48|UMPS|ETV4|BATF3|TTC39B|PIM1|BATF|LCLAT1|IFITM3|MYC|PTRH2|PDCD2L|GPR65|PUS1|SOCS1|IL2RA|ITGAE|FURIN|TRAF1|CAPG|NCOA3|ADAM19|TNFRSF9|CCND2|CD86|SLC2A3|BHLHE40|EOMES|TNFRSF1B|ST3GAL4|HIPK2|IL10RA|CASP3|GBP4|IKZF4|CD44|PHTF2|MAFF|ENO3|MAPKAPK2|MAP3K8|CDCP1
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.00149253731343284,0.00370864856846165,0.606102000864663,2.43527249410555,0,87,STAT1|MYD88|IRF9|IL4R|TNFRSF21|PTPN2|BAK1|IFNGR1|CSF2RA|STAT3|IL13RA1|OSMR|LTB|CXCL13|CXCL10|IL12RB1|HMOX1|SOCS3|CXCL1|IRF1|CXCL9|CSF2RB|LTBR|IL1B|HAX1|TLR2|IL2RG|PIM1|CCL7|CD36|STAM2|GRB2|SOCS1|IL2RA|STAT2|TNFRSF12A|TNFRSF1A|EBI3|IL6|ITGA4|TNF|CXCL3|TNFRSF1B|PTPN11|CCR1|CXCL11|CD44|MAP3K8|IL1R1|PIK3R5
HALLMARK_INFLAMMATORY_RESPONSE,0.00137174211248285,0.00370864856846165,0.522359313001579,2.35720978391868,0,200,TPBG|RGS1|MXD1|NAMPT|GNA15|SLC7A1|NOD2|NMI|IRF7|GCH1|LAMP3|CCL20|CCR7|PTAFR|IL4R|RTP4|TNFSF10|IRAK2|CXCR6|OSMR|LCK|CXCL8|PCDH7|CCL22|GNAI3|FZD5|CXCL10|LYN|LDLR|ATP2A2|IL7R|IRF1|CXCL9|SELL|CD82|CD48|FPR1|NFKB1|RASGRP1|IL1B|P2RY2|RHOG|IFITM1|HBEGF|ADRM1|SLAMF1|TLR2|TAPBP|IL18RAP|CCL7|EREG|CCL2|MYC|HIF1A|FFAR2|GPR183|SELE|ADORA2B|SLC31A1|CCRL2|EBI3|OSM|IL6|IL12B|KCNJ2|PTPRE|CDKN1A|TNFRSF9|TNFSF9|ABI1|GPR132|BDKRB1|SGMS2|TNFRSF1B|SEMA4D|SLC11A2|PLAUR|LCP2|CD40|CYBB|IL10RA|ATP2C1|CXCL11|ICAM1|IL1R1|PIK3R5|CCL5|PDPN|CD69
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.00146842878120411,0.00370864856846165,0.725049260575436,2.9687167714136,0,97,CD47|PSME2|IFI27|OASL|NMI|TRIM14|IRF7|PARP9|IFI30|IRF9|LAMP3|SAMD9|PSMB8|IL4R|PSMA3|UBE2L6|PSME1|ISG20|OAS1|RTP4|HERC6|EPSTI1|LAP3|LGALS3BP|TAP1|NCOA7|CASP1|GBP2|MX1|PLSCR1|IFIH1|ISG15|CXCL10|PARP12|SP110|IRF1|CMPK2|HELZ2|PNPT1|PARP14|IFIT3|SELL|IFI44|PSMB9|RSAD2|SLC25A28|IFI35|WARS1|DDX60|IFITM1|CNP|BATF2|IFITM3|TRIM25|DHX58|STAT2|CCRL2|TRIM21|USP18|IFI44L|CASP8|ADAR|HLA-C|MVB12A
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.00137174211248285,0.00370864856846165,0.657474757626737,2.96693462293573,0,200,PSME2|IFI27|SOD2|NAMPT|OASL|CFB|STAT1|MYD88|NMI|TRIM14|CD274|IRF7|CASP4|IFI30|PSMB2|IRF9|GCH1|PNP|PSMB8|UPP1|IL4R|PSMA3|UBE2L6|PSME1|ISG20|OAS2|RTP4|OAS3|HERC6|EPSTI1|TNFSF10|LAP3|SLAMF7|PTPN2|LGALS3BP|PSMB10|TAP1|IRF8|CASP7|APOL6|RIGI|STAT3|PSMA2|CASP1|MX1|GZMA|SPPL2A|PLSCR1|IFIH1|ISG15|CXCL10|IDO1|GBP6|MTHFD2|PARP12|SOCS3|LYSMD2|SP110|IRF1|CMPK2|HELZ2|PNPT1|XAF1|CXCL9|CSF2RB|PARP14|IFIT3|FCGR1A|PML|IFI44|FPR1|PSMB9|RSAD2|NFKB1|SLC25A28|IFI35|WARS1|DDX60|IFIT1|HLA-G|BATF2|TAPBP|PIM1|CCL7|IFITM3|CCL2|TRIM25|HIF1A|RNF213|MVP|DHX58|SOCS1|STAT2|MX2|ST8SIA4|TRIM21|NCOA3|NLRC5|USP18|IL6|CDKN1A|GPR18|IFI44L|HLA-B|CASP8|CD86|ADAR|VAMP8|LCP2|CD40|SECTM1|IL10RA|CASP3|GBP4|CXCL11|SAMHD1|ICAM1|CCL5|HLA-DQA1|CD69|CD38|BST2|C1S|SAMD9L|IFITM2|XCL1
HALLMARK_KRAS_SIGNALING_DN,0.58974358974359,0.641025641025641,-0.191971300537101,-0.966530263011357,160,200,CLDN8|COQ8A|EFHD1|ZBTB16|TCF7L1|LFNG|MSH5|TFAP2B|CD207|KMT2D|CYP39A1|CAMK1D|BMPR1B|KRT15|SLC16A7|TGFB2|NUDT11|SPTBN2|SELENOP|FGGY|PLAG1|ZNF112|HSD11B2|EGF|EDAR|TFCP2L1|PTGFR|IRS4|EDN1|PAX3|COPZ2|ACTC1|NTF3|GAMT|PDK2|SOX10|CPEB3|TG|PRODH|ATP6V1B1|BARD1|YPEL1|SHOX2|KCNMB1|MYOT
HALLMARK_KRAS_SIGNALING_UP,0.00960219478737997,0.0160036579789666,0.311971834519777,1.40781075848236,6,200,ADAMDEC1|MPZL2|CFB|AMMECR1|CXCR4|CCL20|PSMB8|MMP9|SLPI|ERO1A|PRDM1|CSF2RA|IRF8|ARG1|EPHB2|PRELID3B|STRN|CXCL10|ANGPTL4|AVL9|IL7R|MALL|TRIB2|BIRC3|ADAM17|PLAU|ALDH1A3|IL1B|RBM4|LAPTM5|ETV4|PLAT|IGFBP3|YRDC|HBEGF|ITGB2|IL2RG|CROT|EREG|CTSS|CBR4|ADAM8|TRAF1|CCND2|LY96|MAP7|TNFRSF1B|PLAUR|LAT2|IL1RL2|TLR8|IL10RA|JUP|SERPINA3|DOCK2|HOXD11|ETS1|LCP1|IKZF1|TOR1AIP2|CLEC4A|GALNT3|TMEM176B
HALLMARK_MITOTIC_SPINDLE,0.0258855585831063,0.041750900940494,0.294424084643554,1.32960696509248,18,199,BIRC5|DLGAP5|CDK1|CCNB2|AURKA|NDC80|KIF2C|TOP2A|NUSAP1|KATNB1|PRC1|KIF4A|NEK2|CENPF|TPX2|TTK|PAFAH1B1|BUB1|MYO1E|KIF11|CENPE|ESPL1|LMNB1|KPTN|ECT2|RACGAP1|SHROOM2|SMC4|RHOF|PPP4R2|MAPRE1|ANLN|KIF23|FBXO5|BCR|PLK1|PIF1|KIF15|FSCN1|ATG4B|KIF22|BRCA2|TUBGCP2|WASL|CKAP5|KIF20B|ABI1|MID1|RANBP9|ARHGAP27|KLC1|ARF6|KATNA1|DYNLL2|DOCK2|ARFIP2|CDC42EP4|TUBA4A
HALLMARK_MTORC1_SIGNALING,0.00137174211248285,0.00370864856846165,0.608518209131879,2.74601225737887,0,200,RRM2|NAMPT|TPI1|DDX39A|CXCR4|POLR3G|HSPA4|IFI30|SLC7A11|PNP|AURKA|YKT6|ETF1|PGK1|PSMA3|CTSC|PSMB5|ARPC5L|PSMD12|ENO1|PSMC4|SHMT2|HK2|SLC7A5|RIT1|ERO1A|EIF2S2|PSME3|TUBG1|NMT1|UBE2D3|ATP6V1D|PPIA|BUB1|CDC25A|SSR1|ATP5MC1|SQLE|PSMA4|ABCF2|TXNRD1|LDLR|CORO1A|MTHFD2|TOMM40|ATP2A2|PRDX1|MCM4|HMBS|MCM2|GOT1|DHFR|CCNF|SERP1|PSMD14|EEF1E1|FDXR|HSPA5|PSMD13|RAB1A|ACTR3|MAP2K3|SLC2A1|WARS1|PSMG1|ALDOA|GAPDH|ADIPOR2|PSPH|EPRS1|PNO1|DAPP1|CCT6A|RRP9|ITGB2|COPS5|PSMC6|LDHA|PLK1|M6PR|EDEM1|UCHL5|PSMC2|NHERF1|STIP1|HSPA9|PPA1|ACTR2|HSPE1|HPRT1|GTF2H1|GLA|TBK1|GPI|PSAT1|CDKN1A|SLC2A3|PDAP1|NFKBIB|BHLHE40|TFRC|RPA1|STARD4|PHGDH|CANX|HSP90B1|SDF2L1|IMMT|SLC37A4|TUBA4A|EBP|PITPNB|SLC1A4|SLC6A6|G6PD|LGMN|SLA|HSPD1|ASNS|EGLN3
HALLMARK_MYC_TARGETS_V1,0.00137174211248285,0.00370864856846165,0.659569036700949,2.97638531138163,0,200,KPNA2|RAN|CDC20|CCNA2|GSPT1|EIF4A1|PSMB2|SYNCRIP|TFDP1|ETF1|PGK1|NME1|CCT5|H2AZ1|NPM1|PSMB3|PSMA6|PSMC4|SNRPG|C1QBP|MAD2L1|GOT2|UBE2L3|EIF2S1|EIF2S2|EIF4E|ILF2|TYMS|SNRPA1|CTPS1|SNRPD3|PCNA|NHP2|RANBP1|PSMA2|SNRPD1|RUVBL2|MCM5|PPIA|CCT2|CCT3|GNL3|PHB1|BUB3|LSM2|CDC45|NOP16|PSMA7|MCM6|SRSF2|PSMA4|CYC1|MCM4|SRM|EIF3J|PSMD1|CSTF2|SSBP1|HNRNPA2B1|SERBP1|HNRNPC|MCM2|DDX21|CCT7|LSM7|YWHAQ|HDGF|TXNL4A|NCBP2|KARS1|PSMD14|NCBP1|AIMP2|PSMD8|EIF3B|PA2G4|NOP56|MRPL23|CBX3|IARS1|MCM7|SF3B3|SRSF3|POLD2|VDAC3|EPRS1|COX5A|XPOT|RRP9|COPS5|SRPK1|PSMC6|LDHA|ACP1|G3BP1|TRA2B|PSMA1|NDUFAB1|RRM1|XRCC6|DDX18|MYC|VDAC1|SRSF1|NOLC1|TUFM|POLE3|HSPE1|HPRT1|EIF4H|PRPF31|SRSF7|ABCE1|SNRPA|DUT|EIF4G2|PSMD7|HDAC2|PPM1G|CDK2|TCP1|VBP1|CANX|PWP1|UBE2E1|PHB2
HALLMARK_MYC_TARGETS_V2,0.00155763239875389,0.00370864856846165,0.734525226927923,2.73995626840977,0,58,NPM1|HK2|MCM5|GNL3|PHB1|NOP16|NOP2|MCM4|SRM|IMP4|IPO4|NOC4L|PPAN|FARSA|BYSL|AIMP2|DUSP2|PA2G4|MRTO4|NOP56|CBX3|TBRG4|RRP12|NIP7|RRP9|PLK1|NDUFAF4|DDX18|MYC|NOLC1|TFB2M|PRMT3|WDR74|PUS1|GRWD1|HSPE1|DCTPP1|PES1|SLC19A1|EXOSC5|MYBBP1A|CDK4|PLK4
